Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,20.18,36.53,20.29,28.63,59.64,25.87,1.87,0.06,22.75,7.32,86.16,25.32,NA,33.44,42.52,NA,NA,0.19,132.38,NA,0.00,NA,NA,NA
2024-01-01 01:00:00,22.38,40.02,23.29,27.80,63.38,28.24,1.94,0.12,10.00,7.21,88.56,27.67,NA,37.50,48.08,NA,NA,0.19,130.22,NA,0.00,NA,NA,NA
2024-01-01 02:00:00,23.77,50.43,27.41,27.26,69.15,31.64,2.84,0.56,9.50,6.37,88.98,29.14,NA,38.93,49.44,NA,NA,0.19,126.64,NA,0.00,NA,NA,NA
2024-01-01 03:00:00,25.64,64.61,29.66,26.10,71.42,33.05,2.29,0.54,10.25,7.97,93.28,30.01,NA,39.30,50.19,NA,NA,0.19,125.74,NA,0.00,NA,NA,NA
2024-01-01 04:00:00,25.53,72.57,29.13,27.94,65.79,35.66,2.24,0.18,14.00,9.30,95.81,29.73,NA,38.54,49.54,NA,NA,0.19,113.78,NA,0.00,NA,NA,NA
2024-01-01 05:00:00,24.66,75.43,28.43,29.29,66.13,34.62,2.92,0.06,39.75,9.99,97.71,29.43,NA,37.91,48.58,NA,NA,0.19,116.06,NA,0.00,NA,NA,NA
2024-01-01 06:00:00,25.54,77.18,27.43,28.30,70.22,32.17,2.41,0.04,39.50,9.03,94.55,28.63,NA,36.80,47.00,NA,NA,0.19,125.82,NA,0.00,NA,NA,NA
2024-01-01 07:00:00,27.14,79.97,25.12,28.04,66.43,29.58,2.78,0.03,34.00,9.91,91.47,27.26,NA,35.45,44.73,NA,NA,0.19,128.92,NA,0.00,NA,NA,NA
2024-01-01 08:00:00,26.98,82.25,21.35,27.72,56.20,28.13,2.79,0.04,37.00,8.91,88.98,26.07,NA,34.00,42.82,NA,NA,0.19,127.65,NA,0.00,NA,NA,NA
2024-01-01 09:00:00,27.63,85.80,22.28,28.41,62.46,27.14,2.38,0.04,48.25,9.61,86.97,24.88,NA,32.80,40.94,NA,NA,0.19,115.78,NA,0.00,NA,NA,NA
