Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2020-01-01 00:00:00,63.00,108.38,6.90,80.10,87.00,10.06,6.77,0.96,23.46,3.88,NA,NA,NA,8.75,6.68,19.97,65.07,0.41,141.97,NA,0.00,NA,NA,NA
2020-01-01 01:00:00,105.67,153.17,49.80,84.32,134.14,10.59,7.84,1.51,9.01,3.32,NA,NA,NA,10.57,10.76,19.03,69.99,0.35,152.10,NA,0.00,NA,NA,NA
2020-01-01 02:00:00,116.35,173.83,118.29,63.50,181.75,9.14,9.81,1.92,10.14,6.48,NA,NA,NA,18.92,5.41,18.51,74.72,0.48,133.56,NA,0.00,NA,NA,NA
2020-01-01 03:00:00,133.89,192.51,175.61,31.81,207.40,10.52,11.58,2.47,11.70,1.94,NA,NA,NA,9.70,8.13,17.98,78.64,0.38,142.77,NA,0.00,NA,NA,NA
2020-01-01 04:00:00,163.56,222.94,113.78,53.72,167.48,7.09,9.22,1.92,12.30,8.18,NA,NA,NA,5.10,27.06,17.90,80.50,0.32,156.76,NA,0.00,NA,NA,NA
2020-01-01 05:00:00,146.49,202.58,117.98,24.41,142.41,10.84,8.70,1.76,12.21,14.44,NA,NA,NA,11.32,18.92,17.34,83.22,0.36,172.17,NA,0.00,NA,NA,NA
2020-01-01 06:00:00,151.11,207.58,126.44,24.53,150.96,10.61,8.40,2.02,12.50,6.30,NA,NA,NA,4.81,5.56,17.57,83.63,0.45,166.92,NA,0.00,NA,NA,NA
2020-01-01 07:00:00,156.44,207.07,56.20,52.43,108.64,12.34,6.14,1.32,10.89,6.65,NA,NA,NA,9.45,2.96,18.44,83.62,0.65,148.15,NA,0.00,10.48,NA,NA
2020-01-01 08:00:00,154.33,223.23,50.56,51.65,102.20,12.54,6.67,0.97,10.29,16.55,NA,NA,NA,2.36,13.85,20.31,79.48,0.90,147.80,NA,0.00,101.88,NA,NA
2020-01-01 09:00:00,149.56,218.57,31.06,57.98,89.04,12.35,13.23,0.80,14.34,4.58,NA,NA,NA,3.75,14.97,22.80,68.66,1.06,140.88,NA,0.00,281.19,NA,NA
2020-01-01 10:00:00,132.11,210.52,26.99,83.26,110.24,12.54,33.70,0.64,32.19,4.20,NA,NA,NA,14.81,20.53,24.46,59.28,1.28,129.91,NA,0.00,443.72,NA,NA
2020-01-01 11:00:00,119.33,185.50,11.13,63.38,74.51,11.97,28.88,0.60,74.62,16.47,NA,NA,NA,7.75,11.28,26.38,53.81,0.92,173.76,NA,0.00,546.55,NA,NA
2020-01-01 12:00:00,118.00,183.72,7.67,46.57,54.24,11.04,21.90,0.53,106.60,3.39,NA,NA,NA,15.06,4.60,26.88,51.00,1.23,253.12,NA,0.00,668.96,NA,NA
